stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5
152,October_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",17.7,36.8,NA,143,NA,NA
152,November_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",41,35.4,NA,171,NA,NA
152,December_1995,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",11.4,62.3,NA,243,NA,NA
202,January_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,6.9,56.9,NA,110,NA,NA
202,February_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,6,32.5,NA,121,NA,NA
202,March_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.2,54.3,NA,117,NA,NA
202,April_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,6.6,20.6,NA,160,NA,NA
202,May_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,14.3,25.4,NA,209,NA,NA
202,July_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,15.1,23.5,NA,120,NA,NA
202,August_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,14.4,26.8,NA,310,NA,NA
202,September_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.9,22.8,NA,NA,NA,NA
202,October_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,31.8,56.6,NA,NA,NA,NA
202,November_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,21.3,39.1,NA,NA,NA,NA
202,December_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,13.2,13.2,NA,NA,NA,NA
203,January_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.4,35.9,NA,270,NA,NA
203,March_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,8.9,26.9,NA,202,NA,NA
203,April_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,7.9,26.3,NA,232,NA,NA
203,May_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,21.7,35.1,NA,179,NA,NA
203,June_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,38.8,25.4,NA,197,NA,NA
203,July_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,32,66.8,NA,197,NA,NA
203,August_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,15.2,60.1,NA,215,NA,NA
203,September_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,15.7,34.1,NA,NA,NA,NA
203,December_1995,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,14.1,9.9,NA,108,NA,NA
232,April_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,17.6,27.8,NA,179,NA,NA
232,May_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,9.5,16.2,NA,188,NA,NA
232,June_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,13.2,15,NA,138,NA,NA
232,July_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,8.5,8.2,NA,150,NA,NA
232,August_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,15.8,18.2,NA,128,NA,NA
232,September_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,19.6,43,NA,147,NA,NA
232,October_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,11,13.6,NA,113,NA,NA
232,November_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,10.8,25.6,NA,125,NA,NA
232,December_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,13.2,47.5,NA,474,NA,NA
233,April_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24.9,55.5,NA,148,NA,NA
233,May_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,12.5,15,NA,142,NA,NA
233,June_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,13.8,13.5,NA,126,NA,NA
233,July_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,9.8,9.7,NA,108,NA,NA
233,August_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,14.9,15.4,NA,95,NA,NA
233,September_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,17.9,44,NA,113,NA,NA
233,October_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,14.2,25.2,NA,85,NA,NA
233,November_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,11.4,26.5,NA,90,NA,NA
233,December_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,17.9,47.1,NA,168,NA,NA
234,April_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,26.2,34,NA,154,NA,NA
234,May_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,11.8,10.7,NA,136,NA,NA
234,June_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,19.2,13.1,NA,167,NA,NA
234,July_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.6,20.6,NA,107,NA,NA
234,August_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,28.3,27.9,NA,115,NA,NA
234,September_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,42.6,47.1,NA,118,NA,NA
234,October_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,71.4,37.3,NA,143,NA,NA
234,November_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,18.7,29.9,NA,142,NA,NA
234,December_1995,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,14,53.2,NA,259,NA,NA
232,January - M011996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.8,79.1,NA,332,NA,NA
233,January - M011996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,20.8,57.2,NA,179,NA,NA
234,January - M011996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,37.7,62.9,NA,304,NA,NA
95,January - M011996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,23.9,29.8,NA,266,NA,NA
202,January - M011996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,17.5,77.6,NA,NA,NA,NA
203,January - M011996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,39.2,47.6,NA,201,NA,NA
151,January - M011996,Andhra Pradesh,Hyderabad,NA,Industrial Area,8.4,10.4,NA,52,NA,NA
152,January - M011996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",24.5,36,NA,161,NA,NA
150,January - M011996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9.5,14.9,NA,100,NA,NA
232,February - M021996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24.2,47,NA,259,NA,NA
233,February - M021996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,18,50.8,NA,173,NA,NA
234,February - M021996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24.2,47,NA,259,NA,NA
95,February - M021996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,15.9,26.3,NA,NA,NA,NA
202,February - M021996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,5.2,13.4,NA,NA,NA,NA
203,February - M021996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,31.4,18.2,NA,NA,NA,NA
151,February - M021996,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.9,7.2,NA,50,NA,NA
152,February - M021996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",17,43.2,NA,233,NA,NA
150,February - M021996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.4,21.1,NA,139,NA,NA
232,March - M031996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,32.9,53.8,NA,236,NA,NA
233,March - M031996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.6,40.2,NA,185,NA,NA
234,March - M031996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,23.4,46.9,NA,215,NA,NA
95,March - M031996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,21.2,30.5,NA,NA,NA,NA
203,March - M031996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,14.5,39.3,NA,NA,NA,NA
151,March - M031996,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.1,10.8,NA,110,NA,NA
152,March - M031996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",15,44.2,NA,280,NA,NA
150,March - M031996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",13,19.3,NA,174,NA,NA
232,April - M041996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,17.9,42.3,NA,217,NA,NA
233,April - M041996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,23.6,32.3,NA,143,NA,NA
234,April - M041996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,16.5,29.7,NA,214,NA,NA
95,April - M041996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,11.4,36.1,NA,NA,NA,NA
202,April - M041996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,8.5,8.5,NA,NA,NA,NA
203,April - M041996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,12.2,29.6,NA,NA,NA,NA
151,April - M041996,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.9,8.7,NA,50,NA,NA
152,April - M041996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",11.9,40.5,NA,237,NA,NA
150,April - M041996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.3,10.8,NA,130,NA,NA
232,May - M051996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,23.2,41,NA,202,NA,NA
233,May - M051996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,22.5,38.7,NA,150,NA,NA
234,May - M051996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,22.4,40.4,NA,164,NA,NA
95,May - M051996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,30.7,21.2,NA,NA,NA,NA
203,May - M051996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,28.8,69.4,NA,NA,NA,NA
151,May - M051996,Andhra Pradesh,Hyderabad,NA,Industrial Area,17.3,14.6,NA,109,NA,NA
152,May - M051996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",19,22.2,NA,232,NA,NA
150,May - M051996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12.3,15.5,NA,260,NA,NA
232,June - M061996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,15.6,45.6,NA,238,NA,NA
233,June - M061996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,20.4,44.3,NA,124,NA,NA
234,June - M061996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,22.4,44.7,NA,120,NA,NA
95,June - M061996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.6,24.5,NA,NA,NA,NA
202,June - M061996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,NA,NA,NA
203,June - M061996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,26,29.8,NA,NA,NA,NA
151,June - M061996,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.9,7.7,NA,71,NA,NA
152,June - M061996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",14,32,NA,184,NA,NA
150,June - M061996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9.9,12.7,NA,189,NA,NA
232,July - M071996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,19.6,38.3,NA,150,NA,NA
233,July - M071996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,17.4,35.2,NA,125,NA,NA
234,July - M071996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,14.8,32.3,NA,177,NA,NA
95,July - M071996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,33.4,18.5,NA,NA,NA,NA
151,July - M071996,Andhra Pradesh,Hyderabad,NA,Industrial Area,9.6,8.5,NA,67,NA,NA
152,July - M071996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",19.5,38,NA,331,NA,NA
150,July - M071996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",16.1,13.6,NA,175,NA,NA
232,August - M081996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,25.9,43.4,NA,184,NA,NA
233,August - M081996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,20.5,33.3,NA,118,NA,NA
234,August - M081996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,19.5,40.9,NA,145,NA,NA
95,August - M081996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,22.2,5.6,NA,239,NA,NA
202,August - M081996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,67,NA,NA
203,August - M081996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,29.6,9.6,NA,122,NA,NA
151,August - M081996,Andhra Pradesh,Hyderabad,NA,Industrial Area,6.3,12,NA,34,NA,NA
150,August - M081996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",14.6,17.7,NA,121,NA,NA
232,September - M091996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,20.7,34,NA,175,NA,NA
233,September - M091996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,16.1,26.5,NA,149,NA,NA
234,September - M091996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,19,25.3,NA,152,NA,NA
95,September - M091996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,13.2,15.9,NA,305,NA,NA
202,September - M091996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,148,NA,NA
151,September - M091996,Andhra Pradesh,Hyderabad,NA,Industrial Area,12.9,7.5,NA,40,NA,NA
150,September - M091996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",13.3,17.1,NA,112,NA,NA
232,October - M101996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,30.9,46.3,NA,151,NA,NA
233,October - M101996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,22,24.3,NA,91,NA,NA
234,October - M101996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,43.1,144.1,NA,126,NA,NA
95,October - M101996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,18.7,37.8,NA,279,NA,NA
151,October - M101996,Andhra Pradesh,Hyderabad,NA,Industrial Area,13.5,6.5,NA,80,NA,NA
150,October - M101996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",17.8,9.9,NA,142,NA,NA
232,November - M111996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24.9,46,NA,267,NA,NA
233,November - M111996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,14.3,43.2,NA,120,NA,NA
234,November - M111996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.3,206.9,NA,149,NA,NA
95,November - M111996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,19.8,55.1,NA,346,NA,NA
202,November - M111996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,103,NA,NA
203,November - M111996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,14.4,68.9,NA,133,NA,NA
151,November - M111996,Andhra Pradesh,Hyderabad,NA,Industrial Area,27.3,15.8,NA,74,NA,NA
150,November - M111996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",36.5,15,NA,133,NA,NA
232,December - M121996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,33.6,61.4,NA,361,NA,NA
233,December - M121996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,28.9,98.1,NA,225,NA,NA
234,December - M121996,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,58.7,201.6,NA,212,NA,NA
202,December - M121996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,239,NA,NA
203,December - M121996,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,33,64.4,NA,276,NA,NA
151,December - M121996,Andhra Pradesh,Hyderabad,NA,Industrial Area,20.8,10.1,NA,72,NA,NA
152,December - M121996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",37.2,26.5,NA,215,NA,NA
150,December - M121996,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",34.1,10.7,NA,109,NA,NA
232,January - M011997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,35.3,58.7,NA,365,NA,NA
233,January - M011997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,23,55.7,NA,216,NA,NA
234,January - M011997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,73.6,177.3,NA,287,NA,NA
95,January - M011997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,28,57.1,NA,438,NA,NA
202,January - M011997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,95,NA,NA
151,January - M011997,Andhra Pradesh,Hyderabad,NA,Industrial Area,12.3,9,NA,78,NA,NA
152,January - M011997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",22.1,28.4,NA,182,NA,NA
150,January - M011997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",20,16,NA,111,NA,NA
232,February - M021997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,33.9,40.2,NA,362,NA,NA
233,February - M021997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,35.7,76.9,NA,263,NA,NA
234,February - M021997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,78.7,265.2,NA,275,NA,NA
202,February - M021997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,98,NA,NA
151,February - M021997,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.6,10,NA,95,NA,NA
152,February - M021997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",11.9,23.7,NA,215,NA,NA
150,February - M021997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",15.6,22.7,NA,192,NA,NA
232,March - M031997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,43.2,34.7,NA,368,NA,NA
233,March - M031997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,55,80.8,NA,267,NA,NA
234,March - M031997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,50.7,217.8,NA,262,NA,NA
203,March - M031997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,81,NA,NA
95,March - M031997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,7.9,29.5,NA,193,NA,NA
202,March - M031997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,120,NA,NA
151,March - M031997,Andhra Pradesh,Hyderabad,NA,Industrial Area,13.6,10.2,NA,143,NA,NA
152,March - M031997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",11.2,19.2,NA,203,NA,NA
150,March - M031997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",16.2,21.8,NA,216,NA,NA
232,April - M041997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24.4,33.7,NA,238,NA,NA
233,April - M041997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,24,29.7,NA,132,NA,NA
234,April - M041997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,43.7,75.1,NA,264,NA,NA
202,April - M041997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,132,NA,NA
95,April - M041997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,32.8,86.1,NA,266,NA,NA
203,April - M041997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.4,33.8,NA,33,NA,NA
151,April - M041997,Andhra Pradesh,Hyderabad,NA,Industrial Area,12.3,8,NA,76,NA,NA
152,April - M041997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12,14.7,NA,115,NA,NA
150,April - M041997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",13.2,15.2,NA,87,NA,NA
232,May - M051997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,27.8,37.1,NA,300,NA,NA
233,May - M051997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,26.1,28.4,NA,153,NA,NA
234,May - M051997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,35.7,40.2,NA,284,NA,NA
202,May - M051997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,318,NA,NA
203,May - M051997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,6.1,20.9,NA,70,NA,NA
151,May - M051997,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.6,9.2,NA,99,NA,NA
152,May - M051997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.5,13.1,NA,126,NA,NA
150,May - M051997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.7,18.2,NA,128,NA,NA
232,June - M061997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,37.2,33.8,NA,308,NA,NA
233,June - M061997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,26,33,NA,140,NA,NA
234,June - M061997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,48.3,62.6,NA,292,NA,NA
202,June - M061997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,NA,NA,NA,204,NA,NA
95,June - M061997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,32.5,41.2,NA,197,NA,NA
203,June - M061997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,20.7,44.7,NA,72,NA,NA
151,June - M061997,Andhra Pradesh,Hyderabad,NA,Industrial Area,6.1,5.6,NA,54,NA,NA
152,June - M061997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9,8.1,NA,88,NA,NA
150,June - M061997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.9,14.6,NA,112,NA,NA
232,July - M071997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,32.9,43.2,NA,314,NA,NA
233,July - M071997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,35.3,35.6,NA,128,NA,NA
234,July - M071997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,37.1,44.5,NA,159,NA,NA
202,July - M071997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,6,113.3,NA,146,NA,NA
95,July - M071997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,17.5,22.9,NA,213,NA,NA
203,July - M071997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,18.1,63,NA,108,NA,NA
151,July - M071997,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.2,4,NA,59,NA,NA
152,July - M071997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9.3,8,NA,105,NA,NA
150,July - M071997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.6,9.7,NA,118,NA,NA
232,August - M081997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,22.5,33.3,NA,270,NA,NA
233,August - M081997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.9,28.8,NA,115,NA,NA
234,August - M081997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,27.7,67.7,NA,198,NA,NA
202,August - M081997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,38.1,123.3,NA,274,NA,NA
95,August - M081997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,36.9,46.1,NA,191,NA,NA
203,August - M081997,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,29.1,28.7,NA,158,NA,NA
151,August - M081997,Andhra Pradesh,Hyderabad,NA,Industrial Area,6.3,6.8,NA,50,NA,NA
152,August - M081997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12,10.9,NA,91,NA,NA
150,August - M081997,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.5,6.5,NA,144,NA,NA
232,September - M091997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,21.8,59.5,NA,330,NA,NA
233,September - M091997,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,28,39.9,NA,123,NA,NA
