stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5
233,July - M071992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,8.6,61.8,NA,95,NA,NA
234,July - M071992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,79,5.5,NA,167,NA,NA
95,August - M081992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,6.4,52,NA,150,NA,NA
202,August - M081992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,8.8,34.4,NA,100,NA,NA
203,August - M081992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,5.9,32.6,NA,152,NA,NA
232,August - M081992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,3.3,10.4,NA,274,NA,NA
233,August - M081992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,14.9,16.5,NA,90,NA,NA
234,August - M081992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,4.3,8.9,NA,128,NA,NA
95,September - M091992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,18.7,31.2,NA,163,NA,NA
202,September - M091992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,21.7,31.4,NA,231,NA,NA
203,September - M091992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,17.7,29.5,NA,193,NA,NA
232,September - M091992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,9.9,172.4,NA,236,NA,NA
233,September - M091992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,8.8,19.4,NA,85,NA,NA
234,September - M091992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,3.6,13.4,NA,141,NA,NA
95,October - M101992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,17.4,31.7,NA,264,NA,NA
202,October - M101992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,23.6,33,NA,195,NA,NA
203,October - M101992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,19.5,28.4,NA,214,NA,NA
232,October - M101992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,10.7,101.6,NA,218,NA,NA
233,October - M101992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,2.6,30.8,NA,95,NA,NA
234,October - M101992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,12,17,NA,166,NA,NA
95,November - M111992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,23.1,42.2,NA,314,NA,NA
202,November - M111992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,18.3,23.5,NA,192,NA,NA
203,November - M111992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,21.8,22.3,NA,249,NA,NA
233,November - M111992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,1.2,16.5,NA,75,NA,NA
234,November - M111992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,9.7,21.3,NA,138,NA,NA
95,December - M121992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,4.8,23.1,NA,230,NA,NA
202,December - M121992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,8.7,22.9,NA,140,NA,NA
203,December - M121992,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.9,20.5,NA,158,NA,NA
232,December - M121992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,7.9,41.3,NA,320,NA,NA
233,December - M121992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,7.3,26.4,NA,137,NA,NA
234,December - M121992,Andhra Pradesh,Vishakhapatnam,Andhra Pradesh  Pollution Control Board,NA,15.2,45.4,NA,347,NA,NA
150,January - M011993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.5,10.2,NA,NA,NA,NA
151,January - M011993,Andhra Pradesh,Hyderabad,NA,Industrial Area,9.9,11.6,NA,NA,NA,NA
152,January - M011993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8,44.8,NA,NA,NA,NA
150,February - M021993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.1,13.4,NA,NA,NA,NA
151,February - M021993,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.7,7.9,NA,NA,NA,NA
152,February - M021993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",7.9,33.9,NA,NA,NA,NA
150,March - M031993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.4,11.8,NA,NA,NA,NA
151,March - M031993,Andhra Pradesh,Hyderabad,NA,Industrial Area,7.4,7.5,NA,NA,NA,NA
152,March - M031993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.9,32.6,NA,NA,NA,NA
150,April - M041993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.1,13.4,NA,NA,NA,NA
151,April - M041993,Andhra Pradesh,Hyderabad,NA,Industrial Area,6,6.8,NA,NA,NA,NA
152,April - M041993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,31.6,NA,NA,NA,NA
150,May - M051993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,7.9,NA,NA,NA,NA
151,May - M051993,Andhra Pradesh,Hyderabad,NA,Industrial Area,6,8.8,NA,NA,NA,NA
152,May - M051993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,30.9,NA,NA,NA,NA
150,June - M061993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,9.6,NA,NA,NA,NA
151,June - M061993,Andhra Pradesh,Hyderabad,NA,Industrial Area,6,6.3,NA,NA,NA,NA
152,June - M061993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,17.7,NA,NA,NA,NA
150,July - M071993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,11.7,NA,NA,NA,NA
151,July - M071993,Andhra Pradesh,Hyderabad,NA,Industrial Area,6,5.8,NA,NA,NA,NA
152,July - M071993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,11.1,NA,NA,NA,NA
150,August - M081993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,13.6,NA,NA,NA,NA
151,August - M081993,Andhra Pradesh,Hyderabad,NA,Industrial Area,6,8.2,NA,NA,NA,NA
152,August - M081993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,11.2,NA,NA,NA,NA
150,September - M091993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,9.3,NA,NA,NA,NA
151,September - M091993,Andhra Pradesh,Hyderabad,NA,Industrial Area,6,12.8,NA,NA,NA,NA
152,September - M091993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,11.1,NA,NA,NA,NA
150,October - M101993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,7.8,NA,NA,NA,NA
151,October - M101993,Andhra Pradesh,Hyderabad,NA,Industrial Area,6,7.2,NA,NA,NA,NA
152,October - M101993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,18.6,NA,NA,NA,NA
150,November - M111993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6.3,8,NA,NA,NA,NA
151,November - M111993,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.9,10,NA,NA,NA,NA
152,November - M111993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",24.5,41.1,NA,NA,NA,NA
150,December - M121993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",17.8,15.2,NA,NA,NA,NA
151,December - M121993,Andhra Pradesh,Hyderabad,NA,Industrial Area,18.1,16.3,NA,NA,NA,NA
152,December - M121993,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",34.1,48.9,NA,NA,NA,NA
203,January - M011994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,4.4,8.9,NA,NA,NA,NA
95,January - M011994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,9.6,20.3,NA,NA,NA,NA
202,January - M011994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,4.2,14.1,NA,NA,NA,NA
151,January - M011994,Andhra Pradesh,Hyderabad,NA,Industrial Area,9.7,9,NA,98,NA,NA
152,January - M011994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",51.6,63,NA,130,NA,NA
150,January - M011994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12.5,15.5,NA,144,NA,NA
203,February - M021994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,9.7,28.4,NA,NA,NA,NA
202,February - M021994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,1.5,17.1,NA,NA,NA,NA
95,February - M021994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,31.7,50.2,NA,NA,NA,NA
152,February - M021994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",24.8,42.2,NA,98,NA,NA
150,February - M021994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",7.6,9.4,NA,191,NA,NA
151,February - M021994,Andhra Pradesh,Hyderabad,NA,Industrial Area,10.7,5.2,NA,58,NA,NA
202,March - M031994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,9.7,28.8,NA,NA,NA,NA
203,March - M031994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.9,23.7,NA,NA,NA,NA
95,March - M031994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,21.3,25.8,NA,NA,NA,NA
151,March - M031994,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.1,10.5,NA,91,NA,NA
152,March - M031994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",25.4,48.4,NA,124,NA,NA
150,March - M031994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",12.5,16.8,NA,240,NA,NA
203,April - M041994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,3.7,17,NA,NA,NA,NA
95,April - M041994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,10.5,25.4,NA,NA,NA,NA
202,April - M041994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,3.7,8.3,NA,NA,NA,NA
152,April - M041994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",28.3,39.3,NA,125,NA,NA
151,April - M041994,Andhra Pradesh,Hyderabad,NA,Industrial Area,11.9,8.3,NA,94,NA,NA
150,April - M041994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",8.7,8.5,NA,259,NA,NA
95,May - M051994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,6.6,16.6,NA,NA,NA,NA
203,May - M051994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,1.6,17.9,NA,NA,NA,NA
150,May - M051994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",7.1,15.4,NA,238,NA,NA
152,May - M051994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",15.2,32.4,NA,208,NA,NA
151,May - M051994,Andhra Pradesh,Hyderabad,NA,Industrial Area,6.4,5.2,NA,107,NA,NA
95,June - M061994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,16.4,95.3,NA,NA,NA,NA
203,June - M061994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,5.1,46,NA,NA,NA,NA
150,June - M061994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",6,9.9,NA,132,NA,NA
152,June - M061994,Andhra Pradesh,Hyderabad,NA,"Residential, Rural and other Areas",9.4,22.6,NA,93,NA,NA
151,June - M061994,Andhra Pradesh,Hyderabad,NA,Industrial Area,6.3,7.6,NA,46,NA,NA
95,July - M071994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,1.2,4.2,NA,NA,NA,NA
203,July - M071994,Andhra Pradesh,Hyderabad,Andhra Pradesh  Pollution Control Board,NA,0.9,16.2,NA,NA,NA,NA
